Production Companies,Film Title,Filming Location,Stars,Director,Genres,URL,Release Date
Ealing Studios,The Halfway House,United Kingdom,Mervyn Johns;Glynis Johns;Tom Walls,Basil Dearden;Alberto Cavalcanti,Drama;Fantasy;Mystery;Sci-Fi,https://www.imdb.com/title/tt0035962/?ref_=adv_li_tt,"April 2, 1944"
Kaydor;Lanturn,"Another Time, Another Place",United Kingdom,Lana Turner;Barry Sullivan;Glynis Johns,Lewis Allen,Drama;Romance;War,https://www.imdb.com/title/tt0051364/?ref_=adv_li_tt,"May 2, 1958"
Grenadier Films Ltd.,The Green Man,United Kingdom,Alastair Sim;George Cole;Terry-Thomas,Robert Day;Basil Dearden,Comedy;Crime,https://www.imdb.com/title/tt0050456/?ref_=adv_li_tt,"September 18, 1956"
De Grunwald Productions;Associated British Picture Corporation (ABPC),The Queen of Spades,United Kingdom,Anton Walbrook;Edith Evans;Yvonne Mitchell,Thorold Dickinson,Drama;Fantasy;Horror,https://www.imdb.com/title/tt0041776/?ref_=adv_li_tt,"March 18, 1949"
London Film Productions;De Grunwald Productions,The Winslow Boy,United Kingdom,Robert Donat;Cedric Hardwicke;Basil Radford,Anthony Asquith,Drama,https://www.imdb.com/title/tt0040970/?ref_=adv_li_tt,"September 2, 1948"
Associated British Picture Corporation (ABPC);Guardsman Films,School for Scoundrels,United Kingdom,Ian Carmichael;Terry-Thomas;Alastair Sim,Robert Hamer;Hal E. Chester;Cyril Frankel,Comedy,https://www.imdb.com/title/tt0054279/?ref_=adv_li_tt,"March 24, 1960"
Sydney Box Productions,The Upturned Glass,United Kingdom,James Mason;Rosamund John;Pamela Mason,Lawrence Huntington,Crime;Drama,https://www.imdb.com/title/tt0039947/?ref_=adv_li_tt,"June 17, 1947"
Jerry Wald Productions,Sons and Lovers,United Kingdom,Trevor Howard;Dean Stockwell;Wendy Hiller,Jack Cardiff,Drama,https://www.imdb.com/title/tt0054326/?ref_=adv_li_tt,"May 14, 1960"
Coronado Productions,The End of the Affair,United Kingdom;United States,Deborah Kerr;Van Johnson;John Mills,Edward Dmytryk,Drama;Romance,https://www.imdb.com/title/tt0048034/?ref_=adv_li_tt,"February 24, 1955"
Vic Films Productions,A Town Like Alice,United Kingdom,Virginia McKenna;Peter Finch;Kenji Takaki,Jack Lee,Drama;Romance;War,https://www.imdb.com/title/tt0049871/?ref_=adv_li_tt,"March 1, 1956"
George King Productions,The Demon Barber of Fleet Street,United Kingdom,Tod Slaughter;Stella Rho;John Singer,George King,Crime;Drama;Horror,https://www.imdb.com/title/tt0028331/?ref_=adv_li_tt,"March 2, 1936"
John Mills Productions;Two Cities Films,The Rocking Horse Winner,United Kingdom,Valerie Hobson;John Howard Davies;Ronald Squire,Anthony Pelissier,Drama;Fantasy,https://www.imdb.com/title/tt0042898/?ref_=adv_li_tt,"November 30, 1949"
Tempean Films,13 East Street,United Kingdom,Patrick Holt;Sandra Dorne;Sonia Holm,Robert S. Baker,Thriller,https://www.imdb.com/title/tt0149555/?ref_=adv_li_tt,March 1952
British National Films;The Archers,One of Our Aircraft Is Missing,United Kingdom,Godfrey Tearle;Eric Portman;Hugh Williams,Michael Powell;Emeric Pressburger,Action;Adventure;Drama;War,https://www.imdb.com/title/tt0035153/?ref_=adv_li_tt,"April 24, 1942"
Gainsborough Pictures;Gaumont British Picture Corporation,Bombsight Stolen,United Kingdom,Leslie Banks;Alastair Sim;Jeanne De Casalis,Anthony Asquith,Comedy;Mystery;Thriller;War,https://www.imdb.com/title/tt0033491/?ref_=adv_li_tt,"August 10, 1941"
Two Cities Films;George H. Brown Productions,Sleeping Car to Trieste,United Kingdom,Jean Kent;Albert Lieven;Derrick De Marney,John Paddy Carstairs,Crime;Drama;Mystery;Thriller,https://www.imdb.com/title/tt0040799/?ref_=adv_li_tt,"October 6, 1948"
Hecht-Hill-Lancaster Productions;Brynaprod,The Devil's Disciple,United Kingdom;United States,Burt Lancaster;Kirk Douglas;Laurence Olivier,Guy Hamilton;Alexander Mackendrick,Comedy;History;Romance;War,https://www.imdb.com/title/tt0052735/?ref_=adv_li_tt,"August 20, 1959"
London Film Productions,The Divorce of Lady X,United Kingdom,Merle Oberon;Laurence Olivier;Binnie Barnes,Tim Whelan,Comedy;Drama;Romance,https://www.imdb.com/title/tt0030063/?ref_=adv_li_tt,"January 13, 1938"
Hammer Films,Heat Wave,United Kingdom,Alex Nicol;Hillary Brooke;Sidney James,Ken Hughes,Crime;Drama;Film-Noir,https://www.imdb.com/title/tt0047067/?ref_=adv_li_tt,"April 16, 1954"
Pax Films,The Fake,United Kingdom;United States,Dennis O'Keefe;Coleen Gray;Hugh Williams,Godfrey Grayson,Crime;Drama;Film-Noir;Mystery,https://www.imdb.com/title/tt0045745/?ref_=adv_li_tt,June 1953
Independent Sovereign Films,The Hidden Room,United Kingdom,Robert Newton;Sally Gray;Phil Brown,Edward Dmytryk,Crime;Film-Noir;Thriller,https://www.imdb.com/title/tt0041460/?ref_=adv_li_tt,"August 3, 1949"
The Rank Organisation;British Film;Julian Wintle Productions,The One That Got Away,United Kingdom,Hardy Krüger;Colin Gordon;Michael Goodliffe,Roy Ward Baker,Adventure;Drama;War,https://www.imdb.com/title/tt0050803/?ref_=adv_li_tt,"November 22, 1957"
Hammer Films;Lippert Films,The Black Glove,United Kingdom;United States,Alex Nicol;Eleanor Summerfield;John Salew,Terence Fisher,Crime;Drama;Film-Noir,https://www.imdb.com/title/tt0046784/?ref_=adv_li_tt,"January 29, 1954"
Darryl F. Zanuck Productions,Island in the Sun,United Kingdom;United States,James Mason;Joan Fontaine;Dorothy Dandridge,Robert Rossen,Drama;Romance,https://www.imdb.com/title/tt0050549/?ref_=adv_li_tt,"June 12, 1957"
Ortus Films;Sydney Box Productions,The Seventh Veil,United Kingdom,James Mason;Ann Todd;Herbert Lom,Compton Bennett,Drama;Music,https://www.imdb.com/title/tt0038924/?ref_=adv_li_tt,"October 22, 1945"
The Rank Organisation;Mario Zampi Productions,Too Many Crooks,United Kingdom,Terry-Thomas;George Cole;Brenda de Banzie,Mario Zampi,Comedy;Crime,https://www.imdb.com/title/tt0052301/?ref_=adv_li_tt,"February 13, 1959"
Hammer Films;Lippert Films,Bad Blonde,United Kingdom,Barbara Payton;Frederick Valk;John Slater,Reginald Le Borg,Crime;Drama;Film-Noir;Sport,https://www.imdb.com/title/tt0045533/?ref_=adv_li_tt,"April 10, 1953"
Gainsborough Pictures,The Man in Grey,United Kingdom,Margaret Lockwood;James Mason;Phyllis Calvert,Leslie Arliss,Drama;History;Romance,https://www.imdb.com/title/tt0036135/?ref_=adv_li_tt,"August 6, 1943"
Independent Artists;Julian Wintle/Leslie Parkyn Productions,Never Let Go,United Kingdom,Richard Todd;Peter Sellers;Elizabeth Sellars,John Guillermin,Crime;Drama;Thriller,https://www.imdb.com/title/tt0054115/?ref_=adv_li_tt,"June 2, 1960"
Wigmore Productions;Associated British Picture Corporation (ABPC),Playgirl After Dark,United Kingdom,Jayne Mansfield;Leo Genn;Karlheinz Böhm,Terence Young,Crime;Drama;Romance;Thriller,https://www.imdb.com/title/tt0053365/?ref_=adv_li_tt,"April 16, 1960"
Angel Productions,Escapade,United Kingdom,John Mills;Yvonne Mitchell;Alastair Sim,Philip Leacock,Comedy;Drama,https://www.imdb.com/title/tt0048043/?ref_=adv_li_tt,"August 4, 1955"
Ealing Studios,Saraband,United Kingdom,Stewart Granger;Joan Greenwood;Flora Robson,Basil Dearden,Biography;Drama;History;Romance;War,https://www.imdb.com/title/tt0040758/?ref_=adv_li_tt,"September 8, 1948"
Danziger Productions Ltd.,Alias John Preston,United Kingdom,Betta St. John;Alexander Knox;Christopher Lee,David MacDonald,Horror;Mystery;Romance,https://www.imdb.com/title/tt0048938/?ref_=adv_li_tt,"December 14, 1955"
The Rank Organisation,Violent Playground,United Kingdom,Stanley Baker;Anne Heywood;David McCallum,Basil Dearden,Drama;Crime,https://www.imdb.com/title/tt0052367/?ref_=adv_li_tt,"January 14, 1958"
Twentieth Century Fox;Dimitri De Grunwald Production,The Millionairess,United Kingdom,Sophia Loren;Peter Sellers;Alastair Sim,Anthony Asquith,Comedy;Drama;Romance,https://www.imdb.com/title/tt0054086/?ref_=adv_li_tt,"October 18, 1960"
Gainsborough Pictures;Sydney Box Productions,Christopher Columbus,United Kingdom,Fredric March;Florence Eldridge;Francis L. Sullivan,David MacDonald,Action;Adventure;Biography;Drama;History,https://www.imdb.com/title/tt0041247/?ref_=adv_li_tt,"June 14, 1949"
Ealing Studios,The Overlanders,United Kingdom;Australia,Chips Rafferty;John Nugent Hayward;Daphne Campbell,Harry Watt,Adventure;Drama;Western,https://www.imdb.com/title/tt0038821/?ref_=adv_li_tt,"September 27, 1946"
Javelin Films;Vic Films Productions,Five Angles on Murder,United Kingdom,Jean Kent;Dirk Bogarde;John McCallum,Anthony Asquith,Crime;Drama;Mystery,https://www.imdb.com/title/tt0043140/?ref_=adv_li_tt,"October 3, 1950"
Danziger Productions Ltd.,The Great Van Robbery,United Kingdom,Denis Shaw;Kay Callard;Tony Quinn,Max Varnel,Crime;Drama,https://www.imdb.com/title/tt0052863/?ref_=adv_li_tt,January 1959
Ealing Studios;Michael Balcon Productions,The Night My Number Came Up,United Kingdom,Michael Redgrave;Sheila Sim;Alexander Knox,Leslie Norman,Drama;Fantasy;Mystery;Thriller,https://www.imdb.com/title/tt0047278/?ref_=adv_li_tt,"March 22, 1955"
Harlequin Productions Ltd.,Time Without Pity,United Kingdom,Michael Redgrave;Ann Todd;Leo McKern,Joseph Losey,Crime;Drama;Film-Noir;Mystery,https://www.imdb.com/title/tt0049856/?ref_=adv_li_tt,"March 21, 1957"
Metro-Goldwyn-Mayer British Studios,The Adventures of Tartu,United Kingdom,Robert Donat;Valerie Hobson;Walter Rilla,Harold S. Bucquet,Drama;Romance;Thriller;War,https://www.imdb.com/title/tt0035612/?ref_=adv_li_tt,"September 23, 1943"
Coronado Productions,Eye Witness,United Kingdom,Robert Montgomery;Leslie Banks;Felix Aylmer,Robert Montgomery,Comedy;Crime;Drama;Romance,https://www.imdb.com/title/tt0043154/?ref_=adv_li_tt,"January 25, 1950"
Romulus Films;Remus,The Good Die Young,United Kingdom,Laurence Harvey;Gloria Grahame;Richard Basehart,Lewis Gilbert,Crime;Drama;Thriller,https://www.imdb.com/title/tt0047040/?ref_=adv_li_tt,"March 4, 1954"
Metro-Goldwyn-Mayer (MGM),Beau Brummell,United Kingdom;United States,Stewart Granger;Elizabeth Taylor;Peter Ustinov,Curtis Bernhardt,Biography;Drama;History,https://www.imdb.com/title/tt0046759/?ref_=adv_li_tt,"October 6, 1954"
J. Arthur Rank Organisation;Two Cities Films,The Purple Plain,United Kingdom,Gregory Peck;Bernard Lee;Win Min Than,Robert Parrish,Adventure;Drama;War;Action,https://www.imdb.com/title/tt0047376/?ref_=adv_li_tt,"September 14, 1954"
G.I.B.,The Fall of the House of Usher,United Kingdom,Gwen Watford;Kaye Tendeter;Irving Steen,Ivan Barnett,Horror,https://www.imdb.com/title/tt0177766/?ref_=adv_li_tt,"June 1, 1950"
British Films;The Rank Organisation,The Spanish Gardener,United Kingdom,Dirk Bogarde;Jon Whiteley;Michael Hordern,Philip Leacock,Drama,https://www.imdb.com/title/tt0049787/?ref_=adv_li_tt,"December 25, 1956"
Herbson S.A.;Metro-Goldwyn-Mayer (MGM),The Little Hut,United Kingdom;United States,Ava Gardner;Stewart Granger;David Niven,Mark Robson,Comedy;Romance,https://www.imdb.com/title/tt0050646/?ref_=adv_li_tt,"May 3, 1957"
London Film Productions;British Lion Film Corporation,The Man Between,United Kingdom,James Mason;Claire Bloom;Hildegard Knef,Carol Reed,Crime;Drama;Film-Noir;Romance;Thriller,https://www.imdb.com/title/tt0046031/?ref_=adv_li_tt,"September 25, 1953"
Société Nouvelle Pathé Cinéma;Appia Films Ltd.;Gray Films,The Savage Innocents,Italy;France;United Kingdom,Anthony Quinn;Yôko Tani;Peter O'Toole,Nicholas Ray,Adventure;Crime;Drama,https://www.imdb.com/title/tt0053244/?ref_=adv_li_tt,"March 15, 1960"
Gabriel Pascal Productions;Independent Producers;National Symphony Orchestra,Caesar and Cleopatra,United Kingdom,Claude Rains;Vivien Leigh;Stewart Granger,Gabriel Pascal,Biography;Comedy;Drama;History;Romance;War,https://www.imdb.com/title/tt0038390/?ref_=adv_li_tt,"December 13, 1945"
Walt Disney Productions,Rob Roy: The Highland Rogue,United Kingdom;United States,Richard Todd;Glynis Johns;James Robertson Justice,Harold French,Adventure;Biography;Drama;Family;History;War,https://www.imdb.com/title/tt0046246/?ref_=adv_li_tt,"October 26, 1953"
Prometheus Film Productions Ltd.,The Battle of the Sexes,United Kingdom,Peter Sellers;Robert Morley;Constance Cummings,Charles Crichton,Comedy,https://www.imdb.com/title/tt0052607/?ref_=adv_li_tt,"February 25, 1960"
Greenspan & Seligman Enterprises Ltd.,The Fugitive,United Kingdom,Ralph Richardson;Diana Wynyard;Romney Brent,Brian Desmond Hurst,Drama;Film-Noir;Thriller,https://www.imdb.com/title/tt0031757/?ref_=adv_li_tt,"October 26, 1939"
Romulus Films;Angel Productions,The Slasher,United Kingdom,James Kenney;Joan Collins;Betty Ann Davies,Lewis Gilbert,Crime;Drama;Film-Noir,https://www.imdb.com/title/tt0044515/?ref_=adv_li_tt,February 1953
Ealing Studios,Pool of London,United Kingdom,Bonar Colleano;Susan Shaw;Renée Asherson,Basil Dearden,Crime;Drama,https://www.imdb.com/title/tt0042851/?ref_=adv_li_tt,"February 22, 1951"
Ealing Studios,The Third Key,United Kingdom,Jack Hawkins;John Stratton;Dorothy Alison,Charles Frend,Crime;Drama;Mystery;Thriller,https://www.imdb.com/title/tt0049845/?ref_=adv_li_tt,June 1956
Lou Bunin Productions;Punch Films (II);The Rank Organisation,Alice in Wonderland,United States;France;United Kingdom,Stephen Murray;Ernest Milton;Pamela Brown,Dallas Bower,Animation;Adventure;Family;Fantasy;Musical,https://www.imdb.com/title/tt0042189/?ref_=adv_li_tt,"May 13, 1949"
John Harvel Productions,Blue Murder at St. Trinian's,United Kingdom,Terry-Thomas;George Cole;Joyce Grenfell,Frank Launder,Comedy,https://www.imdb.com/title/tt0051423/?ref_=adv_li_tt,December 1957
Two Cities Films,Johnny in the Clouds,United Kingdom,Michael Redgrave;John Mills;Rosamund John,Anthony Asquith,Drama;Romance;War,https://www.imdb.com/title/tt0038238/?ref_=adv_li_tt,"June 8, 1945"
Gainsborough Pictures,The Ghost Train,United Kingdom,Arthur Askey;Richard Murdoch;Kathleen Harrison,Walter Forde,Comedy;Horror,https://www.imdb.com/title/tt0033660/?ref_=adv_li_tt,"March 5, 1941"
Gaumont British Picture Corporation,King of the Damned,United Kingdom,Conrad Veidt;Helen Vinson;Noah Beery,Walter Forde,Action;Crime;Drama,https://www.imdb.com/title/tt0026572/?ref_=adv_li_tt,December 1935
Group Film Productions Limited,Doctor at Sea,United Kingdom,Dirk Bogarde;Brenda de Banzie;Brigitte Bardot,Ralph Thomas,Comedy,https://www.imdb.com/title/tt0048001/?ref_=adv_li_tt,"July 12, 1955"
Hammer Films,Phantom Ship,United Kingdom,Bela Lugosi;Shirley Grey;Arthur Margetson,Denison Clift,Drama;Horror;Mystery,https://www.imdb.com/title/tt0026759/?ref_=adv_li_tt,"November 14, 1935"
Two Cities Films,The October Man,United Kingdom,John Mills;Joan Greenwood;Edward Chapman,Roy Ward Baker,Crime;Mystery,https://www.imdb.com/title/tt0039676/?ref_=adv_li_tt,1947
Sydney Box Associates;Four Star Films,Make Mine a Double,United Kingdom,Brian Rix;Cecil Parker;William Hartnell,Darcy Conyers,Comedy;Thriller;War,https://www.imdb.com/title/tt0053112/?ref_=adv_li_tt,"October 11, 1959"
Hammer Films,Man Bait,United Kingdom,George Brent;Marguerite Chapman;Raymond Huntley,Terence Fisher,Crime;Drama,https://www.imdb.com/title/tt0044871/?ref_=adv_li_tt,"January 25, 1952"
Tempean Films,Desert Patrol,United Kingdom,Richard Attenborough;John Gregson;Michael Craig,Guy Green,Action;Drama;War,https://www.imdb.com/title/tt0051532/?ref_=adv_li_tt,"November 4, 1958"
Falcon;Hammer Films;Hilary,Stop Me Before I Kill!,United Kingdom,Claude Dauphin;Diane Cilento;Ronald Lewis,Val Guest,Crime;Drama;Mystery;Thriller,https://www.imdb.com/title/tt0054901/?ref_=adv_li_tt,October 1960
Molton,Glory at Sea,United Kingdom,Trevor Howard;Richard Attenborough;Sonny Tufts,Compton Bennett,Adventure;Drama;War,https://www.imdb.com/title/tt0044658/?ref_=adv_li_tt,"July 16, 1952"
British Lion Films;Shepperton Studios;Hallmark Productions,Big Time Operators,United Kingdom,Virginia McKenna;Bill Travers;Margaret Rutherford,Basil Dearden,Comedy,https://www.imdb.com/title/tt0050985/?ref_=adv_li_tt,"April 9, 1957"
London Film Productions,Outcast of the Islands,United Kingdom,Ralph Richardson;Trevor Howard;Robert Morley,Carol Reed,Adventure;Drama,https://www.imdb.com/title/tt0045002/?ref_=adv_li_tt,"November 15, 1951"
Val Guest Productions,Expresso Bongo,United Kingdom,Laurence Harvey;Sylvia Syms;Yolande Donlan,Val Guest,Drama;Music,https://www.imdb.com/title/tt0053806/?ref_=adv_li_tt,"December 1, 1959"
Associated British Picture Corporation (ABPC);Mario Zampi Productions,Laughter in Paradise,United Kingdom,Alastair Sim;Fay Compton;Guy Middleton,Mario Zampi,Comedy,https://www.imdb.com/title/tt0043727/?ref_=adv_li_tt,"June 1, 1951"
Romulus Films;Remus Films,I Am a Camera,United Kingdom,Julie Harris;Laurence Harvey;Shelley Winters,Henry Cornelius,Comedy;Drama,https://www.imdb.com/title/tt0048188/?ref_=adv_li_tt,"July 21, 1955"
Hammer Films;Seven Arts Productions,Ten Seconds to Hell,United Kingdom;United States,Jack Palance;Jeff Chandler;Martine Carol,Robert Aldrich,Action;Drama;Romance;War,https://www.imdb.com/title/tt0053341/?ref_=adv_li_tt,"April 23, 1959"
Victor Saville Productions;London Film Productions,South Riding,United Kingdom,Edna Best;Ralph Richardson;Edmund Gwenn,Victor Saville,Drama;Romance,https://www.imdb.com/title/tt0030774/?ref_=adv_li_tt,"January 4, 1938"
Gainsborough Pictures,Madonna of the Seven Moons,United Kingdom,Phyllis Calvert;Stewart Granger;Patricia Roc,Arthur Crabtree,Drama;Mystery,https://www.imdb.com/title/tt0037035/?ref_=adv_li_tt,1945
British International Pictures (BIP),The Skin Game,United Kingdom,Edmund Gwenn;Jill Esmond;C.V. France,Alfred Hitchcock,Drama,https://www.imdb.com/title/tt0022395/?ref_=adv_li_tt,"February 26, 1931"
Du Maurier-Guinness,The Scapegoat,United Kingdom,Alec Guinness;Bette Davis;Nicole Maurey,Robert Hamer,Crime;Mystery;Thriller,https://www.imdb.com/title/tt0053247/?ref_=adv_li_tt,"August 6, 1959"
Watergate Films,Last Holiday,United Kingdom,Alec Guinness;Beatrice Campbell;Kay Walsh,Henry Cass,Drama;Romance,https://www.imdb.com/title/tt0042665/?ref_=adv_li_tt,"May 5, 1950"
Warwick Film Productions;Viceroy Films Ltd.,The Trials of Oscar Wilde,United Kingdom,Peter Finch;Yvonne Mitchell;James Mason,Ken Hughes,Biography;Drama;History,https://www.imdb.com/title/tt0054403/?ref_=adv_li_tt,May 1960
Insignia Films,Cat Girl,United Kingdom,Barbara Shelley;Robert Ayres;Kay Callard,Alfred Shaughnessy,Horror,https://www.imdb.com/title/tt0050235/?ref_=adv_li_tt,September 1957
Atlantic Film Productions.,Thunder in the City,United Kingdom,Edward G. Robinson;Nigel Bruce;Constance Collier,Marion Gering,Comedy;Crime;Drama;Romance,https://www.imdb.com/title/tt0029670/?ref_=adv_li_tt,"January 13, 1937"
Coronado Productions,Circle of Danger,United Kingdom,Ray Milland;Patricia Roc;Marius Goring,Jacques Tourneur,Drama;Film-Noir;Mystery;Romance,https://www.imdb.com/title/tt0043409/?ref_=adv_li_tt,"April 17, 1951"
Gainsborough Pictures;Gaumont British Picture Corporation,We Dive at Dawn,United Kingdom,John Mills;Louis Bradfield;Ronald Millar,Anthony Asquith,Action;Drama;War,https://www.imdb.com/title/tt0036516/?ref_=adv_li_tt,"April 15, 1943"
Ealing Studios,Frieda,United Kingdom,David Farrar;Glynis Johns;Mai Zetterling,Basil Dearden,Drama;War,https://www.imdb.com/title/tt0039398/?ref_=adv_li_tt,"June 19, 1947"
De Grunwald Productions,Libel,United Kingdom;United States,Dirk Bogarde;Olivia de Havilland;Paul Massie,Anthony Asquith,Drama;Mystery,https://www.imdb.com/title/tt0053003/?ref_=adv_li_tt,"October 23, 1959"
Coronado Productions,Sea Devils,United Kingdom,Yvonne De Carlo;Rock Hudson;Maxwell Reed,Raoul Walsh,Action;Adventure;Drama;History,https://www.imdb.com/title/tt0046286/?ref_=adv_li_tt,April 1953
Lynx Films Ltd.;British Lion Films,Orders to Kill,United Kingdom,Eddie Albert;Paul Massie;Lillian Gish,Anthony Asquith,Drama;Thriller;War,https://www.imdb.com/title/tt0052033/?ref_=adv_li_tt,"April 13, 1958"
The Rank Organisation,Upstairs and Downstairs,United Kingdom,Michael Craig;Anne Heywood;Mylène Demongeot,Ralph Thomas,Comedy,https://www.imdb.com/title/tt0052780/?ref_=adv_li_tt,"August 27, 1959"
Ealing Studios,Decision Against Time,United Kingdom,Jack Hawkins;Elizabeth Sellars;Jeremy Bodkin,Charles Crichton,Drama;Thriller,https://www.imdb.com/title/tt0049475/?ref_=adv_li_tt,"January 8, 1957"
Alma Productions,Sea Wife,United Kingdom,Joan Collins;Richard Burton;Basil Sydney,Bob McNaught,Drama;Thriller;War,https://www.imdb.com/title/tt0050944/?ref_=adv_li_tt,"April 4, 1957"
British Film-Makers,Malta Story,United Kingdom,Alec Guinness;Jack Hawkins;Anthony Steel,Brian Desmond Hurst,Drama;History;War,https://www.imdb.com/title/tt0046029/?ref_=adv_li_tt,"June 23, 1953"
Hammer Films,Spaceways,United Kingdom;United States,Howard Duff;Eva Bartok;Alan Wheatley,Terence Fisher,Sci-Fi;Thriller,https://www.imdb.com/title/tt0046351/?ref_=adv_li_tt,"June 24, 1953"
Julius Hagen Productions,Scrooge,United Kingdom,Seymour Hicks;Donald Calthrop;Robert Cochran,Henry Edwards,Drama;Family;Fantasy,https://www.imdb.com/title/tt0026972/?ref_=adv_li_tt,"November 26, 1935"
Victor Hanbury Productions;Sidney Cohn,The Sleeping Tiger,United Kingdom;United States,Dirk Bogarde;Alexis Smith;Alexander Knox,Joseph Losey,Drama;Thriller,https://www.imdb.com/title/tt0047505/?ref_=adv_li_tt,"June 24, 1954"
Metro-Goldwyn-Mayer British Studios,The Citadel,United Kingdom,Robert Donat;Rosalind Russell;Ralph Richardson,King Vidor,Drama,https://www.imdb.com/title/tt0029995/?ref_=adv_li_tt,"October 26, 1938"
Gainsborough Pictures,Man of Evil,United Kingdom,Phyllis Calvert;James Mason;Wilfrid Lawson,Anthony Asquith,Drama;Romance,https://www.imdb.com/title/tt0036814/?ref_=adv_li_tt,"May 8, 1944"
London Film Productions,"I, Claudius",United Kingdom,Charles Laughton;Merle Oberon;Emlyn Williams,Josef von Sternberg,Drama,https://www.imdb.com/title/tt0028723/?ref_=adv_li_tt,1937
The Rank Organisation,The Black Tent,United Kingdom,Donald Sinden;Anthony Steel;Anna Maria Sandri,Brian Desmond Hurst,Drama;Romance;War,https://www.imdb.com/title/tt0049014/?ref_=adv_li_tt,"April 9, 1956"
D.U.K. Films;E.J. Fancey Productions,Soho Conspiracy,United Kingdom,Tito Gobbi;Gino Bechi;Tito Schipa,Cecil H. Williamson,Drama;Musical,https://www.imdb.com/title/tt0279426/?ref_=adv_li_tt,October 1950
London Film Productions,The Great Manhunt,United Kingdom,Douglas Fairbanks Jr.;Glynis Johns;Jack Hawkins,Sidney Gilliat,Drama;Romance;Thriller,https://www.imdb.com/title/tt0042522/?ref_=adv_li_tt,"July 3, 1950"
Criterion Films,Fire Maidens of Outer Space,United Kingdom,Anthony Dexter;Susan Shaw;Paul Carpenter,Cy Roth,Sci-Fi,https://www.imdb.com/title/tt0046977/?ref_=adv_li_tt,July 1956
Border Film Productions,Climb Up the Wall,United Kingdom,Jack Jackson;Glen Mason;Russ Conway,Michael Winner,Comedy;Music,https://www.imdb.com/title/tt1079979/?ref_=adv_li_tt,1960
Mayflower Productions,Raiders in the Sky,United Kingdom,Dirk Bogarde;Ian Hunter;Dinah Sheridan,Philip Leacock,Drama;Romance;War,https://www.imdb.com/title/tt0045513/?ref_=adv_li_tt,"February 17, 1953"
London Film Productions,The Ghost Goes West,United Kingdom,Robert Donat;Jean Parker;Eugene Pallette,René Clair,Comedy;Fantasy;Horror;Romance,https://www.imdb.com/title/tt0026406/?ref_=adv_li_tt,"December 17, 1935"
Columbia British Productions;Polyphony Digital,Gideon of Scotland Yard,United Kingdom;United States,Jack Hawkins;Anna Lee;Anna Massey,John Ford,Comedy;Crime;Drama;Thriller,https://www.imdb.com/title/tt0051655/?ref_=adv_li_tt,"March 21, 1958"
Romulus Films;Beaconsfield Productions,The Circle,United Kingdom,John Mills;Derek Farr;Noelle Middleton,Gerald Thomas,Crime;Mystery;Thriller,https://www.imdb.com/title/tt0052695/?ref_=adv_li_tt,September 1957
John Argyle Productions,The Human Monster,United Kingdom,Bela Lugosi;Hugh Williams;Greta Gynt,Walter Summers,Drama;Horror,https://www.imdb.com/title/tt0031208/?ref_=adv_li_tt,"October 19, 1939"
Warner Bros.,The Master of Ballantrae,United Kingdom;United States,Errol Flynn;Roger Livesey;Anthony Steel,William Keighley,Action;Adventure;History;Romance,https://www.imdb.com/title/tt0046054/?ref_=adv_li_tt,1953
Ealing Studios,The Life and Adventures of Nicholas Nickleby,United Kingdom,Derek Bond;Cedric Hardwicke;Mary Merrall,Alberto Cavalcanti,Drama,https://www.imdb.com/title/tt0039657/?ref_=adv_li_tt,"March 12, 1947"
London Film Productions;British Lion Film Corporation,Mr. Denning Drives North,United Kingdom,John Mills;Phyllis Calvert;Eileen Moore,Anthony Kimmins,Crime;Drama;Mystery;Thriller,https://www.imdb.com/title/tt0044928/?ref_=adv_li_tt,"December 18, 1951"
Gaumont British Picture Corporation;Gainsborough Pictures;International Film Renters Ltd.,"Oh, Mr. Porter!",United Kingdom,Will Hay;Moore Marriott;Graham Moffatt,Marcel Varnel,Comedy,https://www.imdb.com/title/tt0029335/?ref_=adv_li_tt,"October 5, 1937"
London Film Productions;British Lion Film Corporation,The Sound Barrier,United Kingdom,Ralph Richardson;Ann Todd;Nigel Patrick,David Lean,Adventure;Drama;Romance;War,https://www.imdb.com/title/tt0044446/?ref_=adv_li_tt,"July 22, 1952"
Selznick International Pictures;The Archers;London Film Productions,Gone to Earth,United Kingdom;United States,Jennifer Jones;David Farrar;Cyril Cusack,Michael Powell;Emeric Pressburger,Drama;Romance,https://www.imdb.com/title/tt0042513/?ref_=adv_li_tt,"September 1, 1950"
Paul Soskin Productions,High Treason,United Kingdom,Liam Redmond;André Morell;Kenneth Griffith,Roy Boulting,Crime;Drama;Thriller,https://www.imdb.com/title/tt0043637/?ref_=adv_li_tt,"November 13, 1951"
Carillon Films,The Clouded Yellow,United Kingdom,Jean Simmons;Trevor Howard;Sonia Dresdel,Ralph Thomas,Crime;Drama;Mystery;Thriller,https://www.imdb.com/title/tt0042333/?ref_=adv_li_tt,"November 21, 1950"
Mayflower Pictures Corporation,Sidewalks of London,United Kingdom,Charles Laughton;Vivien Leigh;Rex Harrison,Tim Whelan,Comedy,https://www.imdb.com/title/tt0030746/?ref_=adv_li_tt,"October 19, 1938"
Wheel Productions,Saint Joan,United States;United Kingdom,Richard Widmark;Richard Todd;Anton Walbrook,Otto Preminger,Biography;Drama;History,https://www.imdb.com/title/tt0050928/?ref_=adv_li_tt,"May 8, 1957"
